Portfolio,Stock,Weight_Pct,Return_Pct,Sharpe_Ratio,Risk_Volatility_Pct,Risk_MaxDrawdown_Pct
High Risk Brazilian,PRIO3,5.52,263.2,2.83,110.8,59.4
High Risk Brazilian,UNIP6,5.47,315.8,2.34,73.5,42.2
High Risk Brazilian,LEVE3,5.44,122.1,1.91,46.0,39.7
High Risk Brazilian,UNIP3,4.3,366.9,2.24,79.2,34.8
High Risk Brazilian,TAEE11,3.97,136.8,2.27,36.1,22.1
Medium Risk Brazilian,ITUB4,37.66,170.1,2.79,36.4,20.0
Medium Risk Brazilian,PSSA3,18.7,235.4,2.72,49.6,36.7
Medium Risk Brazilian,ELET3,8.38,292.7,2.46,49.9,32.6
Medium Risk Brazilian,ELET6,7.94,266.1,2.07,60.8,37.3
Medium Risk Brazilian,BRAP3,6.58,95.1,2.41,26.6,18.7
Medium Risk Brazilian,ENEV3,5.01,112.5,2.79,27.5,12.8
Medium Risk Brazilian,UNIP6,4.45,315.8,2.34,73.5,42.2
Medium Risk Brazilian,PRIO3,4.28,263.2,2.83,110.8,59.4
Medium Risk Brazilian,TAEE11,3.6,136.8,2.27,36.1,22.1
Medium Risk Brazilian,UNIP3,3.4,366.9,2.24,79.2,34.8
Low Risk Brazilian,ITUB4,24.32,170.1,2.79,36.4,20.0
Low Risk Brazilian,PSSA3,17.65,235.4,2.72,49.6,36.7
Low Risk Brazilian,BPAN4,16.86,51.6,1.86,25.9,16.8
Low Risk Brazilian,ALUP4,10.75,31.1,1.83,17.0,10.5
Low Risk Brazilian,CPLE6,9.17,50.1,2.16,18.9,11.2
Low Risk Brazilian,BRAP3,6.89,95.1,2.41,26.6,18.7
Low Risk Brazilian,ELET3,5.45,292.7,2.46,49.9,32.6
Low Risk Brazilian,CPLE3,3.91,65.3,2.65,17.3,7.5
Low Risk Brazilian,ENEV3,2.86,112.5,2.79,27.5,12.8
Low Risk Brazilian,TAEE11,2.14,136.8,2.27,36.1,22.1
High Risk International,HSBC,29.17,277.8,2.43,142.8,98.3
High Risk International,BAC,29.17,196.9,2.94,98.3,72.3
High Risk International,NVDA,15.05,362.1,1.75,202.1,99.9
High Risk International,GOOG,14.28,931.7,2.38,306.1,100.0
High Risk International,INTC,12.34,282.3,2.06,99.5,51.4
Medium Risk International,INTC,31.25,282.3,2.06,99.5,51.4
Medium Risk International,BAC,21.91,196.9,2.94,98.3,72.3
Medium Risk International,HSBC,21.84,277.8,2.43,142.8,98.3
Medium Risk International,EBR,12.5,50.8,2.97,16.4,10.1
Medium Risk International,ELP,12.5,45.3,1.94,16.0,9.8
Low Risk International,PBR-A,42.86,56.7,1.54,28.9,21.9
Low Risk International,EBR,28.57,50.8,2.97,16.4,10.1
Low Risk International,ELP,28.57,45.3,1.94,16.0,9.8
High Risk All 3,UNIP3,37.5,366.9,2.24,79.2,34.8
High Risk All 3,GOOG,31.25,931.7,2.38,306.1,100.0
High Risk All 3,NVDA,31.25,362.1,1.75,202.1,99.9
High Risk Brazilian 3,UNIP3,33.33,366.9,2.24,79.2,34.8
High Risk Brazilian 3,UNIP6,33.33,315.8,2.34,73.5,42.2
High Risk Brazilian 3,PRIO3,33.33,263.2,2.83,110.8,59.4
High Risk International 3,HSBC,58.33,277.8,2.43,142.8,98.3
High Risk International 3,GOOG,20.83,931.7,2.38,306.1,100.0
High Risk International 3,NVDA,20.83,362.1,1.75,202.1,99.9
Medium Risk All 3,ELET3,57.14,292.7,2.46,49.9,32.6
Medium Risk All 3,UNIP6,23.21,315.8,2.34,73.5,42.2
Medium Risk All 3,UNIP3,19.64,366.9,2.24,79.2,34.8
Medium Risk Brazilian 3,ELET3,57.14,292.7,2.46,49.9,32.6
Medium Risk Brazilian 3,UNIP6,23.21,315.8,2.34,73.5,42.2
Medium Risk Brazilian 3,UNIP3,19.64,366.9,2.24,79.2,34.8
Medium Risk International 3,BAC,43.75,196.9,2.94,98.3,72.3
Medium Risk International 3,INTC,31.25,282.3,2.06,99.5,51.4
Medium Risk International 3,EBR,25.0,50.8,2.97,16.4,10.1
Low Risk All 3,ITUB4,63.64,170.1,2.79,36.4,20.0
Low Risk All 3,ENEV3,18.18,112.5,2.79,27.5,12.8
Low Risk All 3,EBR,18.18,50.8,2.97,16.4,10.1
Low Risk Brazilian 3,ITUB4,63.64,170.1,2.79,36.4,20.0
Low Risk Brazilian 3,ENEV3,18.18,112.5,2.79,27.5,12.8
Low Risk Brazilian 3,CPLE3,18.18,65.3,2.65,17.3,7.5
Low Risk International 3,PBR-A,42.86,56.7,1.54,28.9,21.9
Low Risk International 3,EBR,28.57,50.8,2.97,16.4,10.1
Low Risk International 3,ELP,28.57,45.3,1.94,16.0,9.8
High Risk All 5,NVDA,32.77,362.1,1.75,202.1,99.9
High Risk All 5,GOOG,29.73,931.7,2.38,306.1,100.0
High Risk All 5,UNIP6,13.27,315.8,2.34,73.5,42.2
High Risk All 5,PRIO3,13.24,263.2,2.83,110.8,59.4
High Risk All 5,UNIP3,10.99,366.9,2.24,79.2,34.8
High Risk Brazilian 5,ELET3,28.57,292.7,2.46,49.9,32.6
High Risk Brazilian 5,ELET6,28.57,266.1,2.07,60.8,37.3
High Risk Brazilian 5,UNIP6,16.85,315.8,2.34,73.5,42.2
High Risk Brazilian 5,PRIO3,14.92,263.2,2.83,110.8,59.4
High Risk Brazilian 5,UNIP3,11.09,366.9,2.24,79.2,34.8
High Risk International 5,HSBC,29.17,277.8,2.43,142.8,98.3
High Risk International 5,BAC,29.17,196.9,2.94,98.3,72.3
High Risk International 5,NVDA,15.05,362.1,1.75,202.1,99.9
High Risk International 5,GOOG,14.28,931.7,2.38,306.1,100.0
High Risk International 5,INTC,12.34,282.3,2.06,99.5,51.4
Medium Risk All 5,ITUB4,41.18,170.1,2.79,36.4,20.0
Medium Risk All 5,ELET3,23.53,292.7,2.46,49.9,32.6
Medium Risk All 5,PSSA3,17.65,235.4,2.72,49.6,36.7
Medium Risk All 5,UNIP6,10.32,315.8,2.34,73.5,42.2
Medium Risk All 5,UNIP3,7.33,366.9,2.24,79.2,34.8
Medium Risk Brazilian 5,ITUB4,41.18,170.1,2.79,36.4,20.0
Medium Risk Brazilian 5,ELET3,23.53,292.7,2.46,49.9,32.6
Medium Risk Brazilian 5,PSSA3,17.65,235.4,2.72,49.6,36.7
Medium Risk Brazilian 5,UNIP6,10.32,315.8,2.34,73.5,42.2
Medium Risk Brazilian 5,UNIP3,7.33,366.9,2.24,79.2,34.8
Medium Risk International 5,INTC,31.25,282.3,2.06,99.5,51.4
Medium Risk International 5,BAC,21.91,196.9,2.94,98.3,72.3
Medium Risk International 5,HSBC,21.84,277.8,2.43,142.8,98.3
Medium Risk International 5,EBR,12.5,50.8,2.97,16.4,10.1
Medium Risk International 5,ELP,12.5,45.3,1.94,16.0,9.8
Low Risk All 5,ITUB4,50.0,170.1,2.79,36.4,20.0
Low Risk All 5,BRAP3,21.43,95.1,2.41,26.6,18.7
Low Risk All 5,EBR,11.25,50.8,2.97,16.4,10.1
Low Risk All 5,CPLE3,10.21,65.3,2.65,17.3,7.5
Low Risk All 5,ENEV3,7.12,112.5,2.79,27.5,12.8
Low Risk Brazilian 5,ITUB4,50.0,170.1,2.79,36.4,20.0
Low Risk Brazilian 5,BRAP3,21.43,95.1,2.41,26.6,18.7
Low Risk Brazilian 5,CPLE3,11.82,65.3,2.65,17.3,7.5
Low Risk Brazilian 5,ENEV3,9.53,112.5,2.79,27.5,12.8
Low Risk Brazilian 5,TAEE11,7.22,136.8,2.27,36.1,22.1
Low Risk International 5,PBR-A,42.86,56.7,1.54,28.9,21.9
Low Risk International 5,EBR,28.57,50.8,2.97,16.4,10.1
Low Risk International 5,ELP,28.57,45.3,1.94,16.0,9.8
High Risk All 10,BAC,19.35,196.9,2.94,98.3,72.3
High Risk All 10,HSBC,14.96,277.8,2.43,142.8,98.3
High Risk All 10,ELET3,12.53,292.7,2.46,49.9,32.6
High Risk All 10,ELET6,11.47,266.1,2.07,60.8,37.3
High Risk All 10,NVDA,8.68,362.1,1.75,202.1,99.9
High Risk All 10,GOOG,7.82,931.7,2.38,306.1,100.0
High Risk All 10,INTC,7.19,282.3,2.06,99.5,51.4
High Risk All 10,PRIO3,6.59,263.2,2.83,110.8,59.4
High Risk All 10,UNIP6,6.48,315.8,2.34,73.5,42.2
High Risk All 10,UNIP3,4.93,366.9,2.24,79.2,34.8
High Risk Brazilian 10,ITUB4,30.88,170.1,2.79,36.4,20.0
High Risk Brazilian 10,PSSA3,20.74,235.4,2.72,49.6,36.7
High Risk Brazilian 10,ELET3,9.28,292.7,2.46,49.9,32.6
High Risk Brazilian 10,ELET6,8.72,266.1,2.07,60.8,37.3
High Risk Brazilian 10,ENEV3,5.68,112.5,2.79,27.5,12.8
High Risk Brazilian 10,PRIO3,5.52,263.2,2.83,110.8,59.4
High Risk Brazilian 10,UNIP6,5.47,315.8,2.34,73.5,42.2
High Risk Brazilian 10,LEVE3,5.44,122.1,1.91,46.0,39.7
High Risk Brazilian 10,UNIP3,4.3,366.9,2.24,79.2,34.8
High Risk Brazilian 10,TAEE11,3.97,136.8,2.27,36.1,22.1
High Risk International 10,HSBC,29.17,277.8,2.43,142.8,98.3
High Risk International 10,BAC,29.17,196.9,2.94,98.3,72.3
High Risk International 10,NVDA,15.05,362.1,1.75,202.1,99.9
High Risk International 10,GOOG,14.28,931.7,2.38,306.1,100.0
High Risk International 10,INTC,12.34,282.3,2.06,99.5,51.4
Medium Risk All 10,ITUB4,37.66,170.1,2.79,36.4,20.0
Medium Risk All 10,PSSA3,18.7,235.4,2.72,49.6,36.7
Medium Risk All 10,ELET3,8.38,292.7,2.46,49.9,32.6
Medium Risk All 10,ELET6,7.94,266.1,2.07,60.8,37.3
Medium Risk All 10,BRAP3,6.58,95.1,2.41,26.6,18.7
Medium Risk All 10,ENEV3,5.01,112.5,2.79,27.5,12.8
Medium Risk All 10,UNIP6,4.45,315.8,2.34,73.5,42.2
Medium Risk All 10,PRIO3,4.28,263.2,2.83,110.8,59.4
Medium Risk All 10,TAEE11,3.6,136.8,2.27,36.1,22.1
Medium Risk All 10,UNIP3,3.4,366.9,2.24,79.2,34.8
Medium Risk Brazilian 10,ITUB4,37.66,170.1,2.79,36.4,20.0
Medium Risk Brazilian 10,PSSA3,18.7,235.4,2.72,49.6,36.7
Medium Risk Brazilian 10,ELET3,8.38,292.7,2.46,49.9,32.6
Medium Risk Brazilian 10,ELET6,7.94,266.1,2.07,60.8,37.3
Medium Risk Brazilian 10,BRAP3,6.58,95.1,2.41,26.6,18.7
Medium Risk Brazilian 10,ENEV3,5.01,112.5,2.79,27.5,12.8
Medium Risk Brazilian 10,UNIP6,4.45,315.8,2.34,73.5,42.2
Medium Risk Brazilian 10,PRIO3,4.28,263.2,2.83,110.8,59.4
Medium Risk Brazilian 10,TAEE11,3.6,136.8,2.27,36.1,22.1
Medium Risk Brazilian 10,UNIP3,3.4,366.9,2.24,79.2,34.8
Medium Risk International 10,INTC,31.25,282.3,2.06,99.5,51.4
Medium Risk International 10,BAC,21.91,196.9,2.94,98.3,72.3
Medium Risk International 10,HSBC,21.84,277.8,2.43,142.8,98.3
Medium Risk International 10,EBR,12.5,50.8,2.97,16.4,10.1
Medium Risk International 10,ELP,12.5,45.3,1.94,16.0,9.8
Low Risk All 10,ITUB4,32.65,170.1,2.79,36.4,20.0
Low Risk All 10,BRAP3,20.2,95.1,2.41,26.6,18.7
Low Risk All 10,PSSA3,20.2,235.4,2.72,49.6,36.7
Low Risk All 10,EBR,6.4,50.8,2.97,16.4,10.1
Low Risk All 10,CPLE6,6.4,50.1,2.16,18.9,11.2
Low Risk All 10,ELP,5.17,45.3,1.94,16.0,9.8
Low Risk All 10,ELET3,3.05,292.7,2.46,49.9,32.6
Low Risk All 10,CPLE3,2.56,65.3,2.65,17.3,7.5
Low Risk All 10,ENEV3,1.9,112.5,2.79,27.5,12.8
Low Risk All 10,TAEE11,1.46,136.8,2.27,36.1,22.1
Low Risk Brazilian 10,ITUB4,24.32,170.1,2.79,36.4,20.0
Low Risk Brazilian 10,PSSA3,17.65,235.4,2.72,49.6,36.7
Low Risk Brazilian 10,BPAN4,16.86,51.6,1.86,25.9,16.8
Low Risk Brazilian 10,ALUP4,10.75,31.1,1.83,17.0,10.5
Low Risk Brazilian 10,CPLE6,9.17,50.1,2.16,18.9,11.2
Low Risk Brazilian 10,BRAP3,6.89,95.1,2.41,26.6,18.7
Low Risk Brazilian 10,ELET3,5.45,292.7,2.46,49.9,32.6
Low Risk Brazilian 10,CPLE3,3.91,65.3,2.65,17.3,7.5
Low Risk Brazilian 10,ENEV3,2.86,112.5,2.79,27.5,12.8
Low Risk Brazilian 10,TAEE11,2.14,136.8,2.27,36.1,22.1
Low Risk International 10,PBR-A,42.86,56.7,1.54,28.9,21.9
Low Risk International 10,EBR,28.57,50.8,2.97,16.4,10.1
Low Risk International 10,ELP,28.57,45.3,1.94,16.0,9.8
High Risk All 20,BAC,16.53,196.9,2.94,98.3,72.3
High Risk All 20,PSSA3,10.35,235.4,2.72,49.6,36.7
High Risk All 20,ITUB4,9.08,170.1,2.79,36.4,20.0
High Risk All 20,ELET3,9.03,292.7,2.46,49.9,32.6
High Risk All 20,LEVE3,8.21,122.1,1.91,46.0,39.7
High Risk All 20,HSBC,7.33,277.8,2.43,142.8,98.3
High Risk All 20,GOOG,6.89,931.7,2.38,306.1,100.0
High Risk All 20,ELET6,6.1,266.1,2.07,60.8,37.3
High Risk All 20,ENEV3,5.47,112.5,2.79,27.5,12.8
High Risk All 20,NVDA,4.2,362.1,1.75,202.1,99.9
High Risk All 20,INTC,3.62,282.3,2.06,99.5,51.4
High Risk All 20,TAEE11,3.41,136.8,2.27,36.1,22.1
High Risk All 20,BRAP3,3.03,95.1,2.41,26.6,18.7
High Risk All 20,PRIO3,2.48,263.2,2.83,110.8,59.4
High Risk All 20,UNIP6,2.37,315.8,2.34,73.5,42.2
High Risk All 20,UNIP3,1.92,366.9,2.24,79.2,34.8
High Risk Brazilian 20,ITUB4,31.02,170.1,2.79,36.4,20.0
High Risk Brazilian 20,PSSA3,20.69,235.4,2.72,49.6,36.7
High Risk Brazilian 20,ELET3,9.38,292.7,2.46,49.9,32.6
High Risk Brazilian 20,ELET6,8.83,266.1,2.07,60.8,37.3
High Risk Brazilian 20,BRAP3,5.97,95.1,2.41,26.6,18.7
High Risk Brazilian 20,ENEV3,5.49,112.5,2.79,27.5,12.8
High Risk Brazilian 20,LEVE3,4.04,122.1,1.91,46.0,39.7
High Risk Brazilian 20,TAEE11,3.89,136.8,2.27,36.1,22.1
High Risk Brazilian 20,PRIO3,3.85,263.2,2.83,110.8,59.4
High Risk Brazilian 20,UNIP6,3.8,315.8,2.34,73.5,42.2
High Risk Brazilian 20,UNIP3,3.02,366.9,2.24,79.2,34.8
High Risk International 20,AXP,21.3,172.1,1.36,263.7,99.9
High Risk International 20,BAC,20.99,196.9,2.94,98.3,72.3
High Risk International 20,HSBC,16.05,277.8,2.43,142.8,98.3
High Risk International 20,PYPL,14.93,126.3,1.36,287.3,100.0
High Risk International 20,NVDA,9.8,362.1,1.75,202.1,99.9
High Risk International 20,GOOG,9.33,931.7,2.38,306.1,100.0
High Risk International 20,INTC,7.61,282.3,2.06,99.5,51.4
Medium Risk All 20,BAC,22.08,196.9,2.94,98.3,72.3
Medium Risk All 20,PSSA3,15.51,235.4,2.72,49.6,36.7
Medium Risk All 20,ITUB4,8.78,170.1,2.79,36.4,20.0
Medium Risk All 20,ALUP4,6.88,31.1,1.83,17.0,10.5
Medium Risk All 20,BPAN4,5.96,51.6,1.86,25.9,16.8
Medium Risk All 20,EBR,5.05,50.8,2.97,16.4,10.1
Medium Risk All 20,CPLE6,5.05,50.1,2.16,18.9,11.2
Medium Risk All 20,ELP,5.05,45.3,1.94,16.0,9.8
Medium Risk All 20,INTC,4.86,282.3,2.06,99.5,51.4
Medium Risk All 20,LEVE3,3.34,122.1,1.91,46.0,39.7
Medium Risk All 20,HSBC,2.99,277.8,2.43,142.8,98.3
Medium Risk All 20,ELET3,2.43,292.7,2.46,49.9,32.6
Medium Risk All 20,BRAP3,1.98,95.1,2.41,26.6,18.7
Medium Risk All 20,UNIP6,1.8,315.8,2.34,73.5,42.2
Medium Risk All 20,ELET6,1.79,266.1,2.07,60.8,37.3
Medium Risk All 20,PRIO3,1.74,263.2,2.83,110.8,59.4
Medium Risk All 20,ENEV3,1.39,112.5,2.79,27.5,12.8
Medium Risk All 20,UNIP3,1.32,366.9,2.24,79.2,34.8
Medium Risk All 20,CPLE3,1.09,65.3,2.65,17.3,7.5
Medium Risk All 20,TAEE11,0.89,136.8,2.27,36.1,22.1
Medium Risk Brazilian 20,ITUB4,21.17,170.1,2.79,36.4,20.0
Medium Risk Brazilian 20,BPAN4,20.01,51.6,1.86,25.9,16.8
Medium Risk Brazilian 20,PSSA3,17.65,235.4,2.72,49.6,36.7
Medium Risk Brazilian 20,CPLE6,7.15,50.1,2.16,18.9,11.2
Medium Risk Brazilian 20,ALUP4,7.08,31.1,1.83,17.0,10.5
Medium Risk Brazilian 20,ELET3,5.31,292.7,2.46,49.9,32.6
Medium Risk Brazilian 20,ELET6,4.71,266.1,2.07,60.8,37.3
Medium Risk Brazilian 20,LEVE3,3.27,122.1,1.91,46.0,39.7
Medium Risk Brazilian 20,BRAP3,2.62,95.1,2.41,26.6,18.7
Medium Risk Brazilian 20,CPLE3,2.43,65.3,2.65,17.3,7.5
Medium Risk Brazilian 20,ENEV3,2.35,112.5,2.79,27.5,12.8
Medium Risk Brazilian 20,UNIP6,1.72,315.8,2.34,73.5,42.2
Medium Risk Brazilian 20,PRIO3,1.65,263.2,2.83,110.8,59.4
Medium Risk Brazilian 20,TAEE11,1.58,136.8,2.27,36.1,22.1
Medium Risk Brazilian 20,UNIP3,1.3,366.9,2.24,79.2,34.8
Medium Risk International 20,BAC,24.76,196.9,2.94,98.3,72.3
Medium Risk International 20,HSBC,19.91,277.8,2.43,142.8,98.3
Medium Risk International 20,PBR-A,19.15,56.7,1.54,28.9,21.9
Medium Risk International 20,EBR,12.76,50.8,2.97,16.4,10.1
Medium Risk International 20,ELP,12.76,45.3,1.94,16.0,9.8
Medium Risk International 20,INTC,10.65,282.3,2.06,99.5,51.4
Low Risk All 20,BPAN4,19.04,51.6,1.86,25.9,16.8
Low Risk All 20,PSSA3,17.65,235.4,2.72,49.6,36.7
Low Risk All 20,ITUB4,17.08,170.1,2.79,36.4,20.0
Low Risk All 20,BRKM6,6.82,28.2,1.23,35.3,24.3
Low Risk All 20,CPLE6,5.92,50.1,2.16,18.9,11.2
Low Risk All 20,SANB4,5.06,42.1,1.34,29.5,21.0
Low Risk All 20,ELP,4.24,45.3,1.94,16.0,9.8
Low Risk All 20,ALUP4,4.08,31.1,1.83,17.0,10.5
Low Risk All 20,EBR,3.21,50.8,2.97,16.4,10.1
Low Risk All 20,PBR-A,2.4,56.7,1.54,28.9,21.9
Low Risk All 20,ELET3,1.95,292.7,2.46,49.9,32.6
Low Risk All 20,BRAP3,1.82,95.1,2.41,26.6,18.7
Low Risk All 20,ELET6,1.66,266.1,2.07,60.8,37.3
Low Risk All 20,CMIG4,1.58,20.5,0.96,18.4,10.9
Low Risk All 20,TAEE3,1.49,32.7,1.44,17.6,12.0
Low Risk All 20,UNIP6,1.41,315.8,2.34,73.5,42.2
Low Risk All 20,ENEV3,1.36,112.5,2.79,27.5,12.8
Low Risk All 20,CPLE3,1.34,65.3,2.65,17.3,7.5
Low Risk All 20,UNIP3,1.11,366.9,2.24,79.2,34.8
Low Risk All 20,TAEE11,0.79,136.8,2.27,36.1,22.1
Low Risk Brazilian 20,ITUB4,18.3,170.1,2.79,36.4,20.0
Low Risk Brazilian 20,BPAN4,17.96,51.6,1.86,25.9,16.8
Low Risk Brazilian 20,PSSA3,17.65,235.4,2.72,49.6,36.7
Low Risk Brazilian 20,CPLE6,8.73,50.1,2.16,18.9,11.2
Low Risk Brazilian 20,BRKM6,5.95,28.2,1.23,35.3,24.3
Low Risk Brazilian 20,SANB4,4.92,42.1,1.34,29.5,21.0
Low Risk Brazilian 20,EALT4,3.88,13.3,0.59,33.7,37.3
Low Risk Brazilian 20,ELET3,2.97,292.7,2.46,49.9,32.6
Low Risk Brazilian 20,ALUP4,2.66,31.1,1.83,17.0,10.5
Low Risk Brazilian 20,ELET6,2.65,266.1,2.07,60.8,37.3
Low Risk Brazilian 20,CMIG4,2.22,20.5,0.96,18.4,10.9
Low Risk Brazilian 20,TAEE3,2.07,32.7,1.44,17.6,12.0
Low Risk Brazilian 20,ENEV3,1.96,112.5,2.79,27.5,12.8
Low Risk Brazilian 20,CPLE3,1.83,65.3,2.65,17.3,7.5
Low Risk Brazilian 20,LEVE3,1.5,122.1,1.91,46.0,39.7
Low Risk Brazilian 20,BRAP3,1.13,95.1,2.41,26.6,18.7
Low Risk Brazilian 20,TAEE11,1.09,136.8,2.27,36.1,22.1
Low Risk Brazilian 20,UNIP6,0.94,315.8,2.34,73.5,42.2
Low Risk Brazilian 20,GGBR3,0.85,30.2,0.87,33.4,29.1
Low Risk Brazilian 20,UNIP3,0.74,366.9,2.24,79.2,34.8
Low Risk International 20,PBR-A,42.86,56.7,1.54,28.9,21.9
Low Risk International 20,EBR,28.57,50.8,2.97,16.4,10.1
Low Risk International 20,ELP,28.57,45.3,1.94,16.0,9.8
Sector Technology All,GOOG,19.19,931.7,2.38,306.1,100.0
Sector Technology All,NVDA,19.19,362.1,1.75,202.1,99.9
Sector Technology All,INTC,19.19,282.3,2.06,99.5,51.4
Sector Technology All,PYPL,19.19,126.3,1.36,287.3,100.0
Sector Technology All,MSFT,19.19,-1.4,0.61,273.6,100.0
Sector Technology All,AAPL,4.05,-99.9,-0.17,286.0,99.9
Sector Technology International,GOOG,19.19,931.7,2.38,306.1,100.0
Sector Technology International,NVDA,19.19,362.1,1.75,202.1,99.9
Sector Technology International,INTC,19.19,282.3,2.06,99.5,51.4
Sector Technology International,PYPL,19.19,126.3,1.36,287.3,100.0
Sector Technology International,MSFT,19.19,-1.4,0.61,273.6,100.0
Sector Technology International,AAPL,4.05,-99.9,-0.17,286.0,99.9
Sector Finances All,AXP,19.87,172.1,1.36,263.7,99.9
Sector Finances All,BPAN4,18.67,51.6,1.86,25.9,16.8
Sector Finances All,BAC,14.84,196.9,2.94,98.3,72.3
Sector Finances All,SANB4,14.03,42.1,1.34,29.5,21.0
Sector Finances All,BBSE3,11.65,30.6,0.97,68.3,60.6
Sector Finances All,HSBC,8.73,277.8,2.43,142.8,98.3
Sector Finances All,ITUB4,8.27,170.1,2.79,36.4,20.0
Sector Finances All,JPM,3.93,-61.4,1.04,228.9,99.0
Sector Finances Brazilian,BPAN4,27.91,51.6,1.86,25.9,16.8
Sector Finances Brazilian,SANB4,27.91,42.1,1.34,29.5,21.0
Sector Finances Brazilian,BBSE3,23.98,30.6,0.97,68.3,60.6
Sector Finances Brazilian,ITUB4,20.2,170.1,2.79,36.4,20.0
Sector Finances International,HSBC,28.8,277.8,2.43,142.8,98.3
Sector Finances International,BAC,28.8,196.9,2.94,98.3,72.3
Sector Finances International,AXP,28.8,172.1,1.36,263.7,99.9
Sector Finances International,JPM,13.6,-61.4,1.04,228.9,99.0
Sector Energy All,CPLE6,20.28,50.1,2.16,18.9,11.2
Sector Energy All,EBR,16.06,50.8,2.97,16.4,10.1
Sector Energy All,ELP,14.7,45.3,1.94,16.0,9.8
Sector Energy All,CMIG4,9.04,20.5,0.96,18.4,10.9
Sector Energy All,CPLE3,8.28,65.3,2.65,17.3,7.5
Sector Energy All,ELET3,7.45,292.7,2.46,49.9,32.6
Sector Energy All,ELET6,6.83,266.1,2.07,60.8,37.3
Sector Energy All,TAEE3,6.78,32.7,1.44,17.6,12.0
Sector Energy All,ENEV3,6.65,112.5,2.79,27.5,12.8
Sector Energy All,TAEE11,3.93,136.8,2.27,36.1,22.1
Sector Energy Brazilian,CPLE6,22.72,50.1,2.16,18.9,11.2
Sector Energy Brazilian,CMIG4,13.96,20.5,0.96,18.4,10.9
Sector Energy Brazilian,CPLE3,13.05,65.3,2.65,17.3,7.5
Sector Energy Brazilian,ELET3,12.53,292.7,2.46,49.9,32.6
Sector Energy Brazilian,ELET6,11.34,266.1,2.07,60.8,37.3
Sector Energy Brazilian,ENEV3,10.27,112.5,2.79,27.5,12.8
Sector Energy Brazilian,TAEE3,10.25,32.7,1.44,17.6,12.0
Sector Energy Brazilian,TAEE11,5.89,136.8,2.27,36.1,22.1
Sector Energy International,EBR,50.0,50.8,2.97,16.4,10.1
Sector Energy International,ELP,50.0,45.3,1.94,16.0,9.8
Sector Consumer All,PSSA3,50.0,235.4,2.72,49.6,36.7
Sector Consumer All,AAPL,50.0,-99.9,-0.17,286.0,99.9
Sector Consumer Brazilian,PSSA3,100.0,235.4,2.72,49.6,36.7
Sector Consumer International,AAPL,100.0,-99.9,-0.17,286.0,99.9
Sector Health All,LLY,100.0,-99.9,0.41,259.7,99.2
Sector Health International,LLY,100.0,-99.9,0.41,259.7,99.2
Momentum All,ELET3,18.62,292.7,2.46,49.9,32.6
Momentum All,ELET6,18.62,266.1,2.07,60.8,37.3
Momentum All,PSSA3,10.67,235.4,2.72,49.6,36.7
Momentum All,GOOG,10.26,931.7,2.38,306.1,100.0
