symbol,explanation,explanation_pt
B3SA3,"B3SA3 @ $18.23 shows an unclear signal with both BUY (58.0%, needs 1.0pts) and SELL (20.0%, needs 30.0pts) below thresholds. Conviction: 2.6/10 (Weak) - Model agreement: 100%, uncertainty: 2.64σ, moderate ensemble. Top contributors: SAC (39.1%), LSTM SR (38.2%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 2.64 uncertainty. Regime-adjusted expected return: +1.5% over 10 days (regime penalty: 60%, vol penalty: 80%). Signal half-life: 2.2 days, optimal holding: 3 days, persistence probability: 40%. Market regime: trending (trend: 0.14, vol: 0.25) - challenging conditions for this signal type.","B3SA3 @ $18.23 sinal incerto: COMPRA (58.0%, precisa 1.0pts) e VENDA (20.0%, precisa 30.0pts) abaixo dos limiares. Convicção: 2.6/10 (Fraco) - Consenso modelos: 100%, incerteza: 2.64σ, ensemble moderado. Principais contribuintes: SAC (39.1%), LSTM SR (38.2%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 2.64. Retorno esperado ajustado: +1.5% em 10 dias (penalidade regime: 60%, vol: 80%). Meia-vida sinal: 2.2 dias, holding ótimo: 3 dias, probabilidade persistência: 40%. Regime mercado: tendencial (tendência: 0.14, vol: 0.25) - condições desafiadoras para este tipo de sinal."
BAC  ,"BAC   @ $57.96 shows an unclear signal with both BUY (61.0%, needs 18.0pts) and SELL (16.0%, needs 17.0pts) below thresholds. Conviction: 2.4/10 (Weak) - Model agreement: 70%, uncertainty: 2.94σ, moderate ensemble. Top contributors: LSTM (32.4%), SAC (21.1%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 2.94 uncertainty. Regime-adjusted expected return: +2.1% over 10 days (regime penalty: 80%, vol penalty: 82%). Signal half-life: 2.3 days, optimal holding: 3 days, persistence probability: 40%. Market regime: sideways (trend: 0.05, vol: 0.24) - favorable conditions for this signal type.","BAC   @ $57.96 sinal incerto: COMPRA (61.0%, precisa 18.0pts) e VENDA (16.0%, precisa 17.0pts) abaixo dos limiares. Convicção: 2.4/10 (Fraco) - Consenso modelos: 70%, incerteza: 2.94σ, ensemble moderado. Principais contribuintes: LSTM (32.4%), SAC (21.1%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 2.94. Retorno esperado ajustado: +2.1% em 10 dias (penalidade regime: 80%, vol: 82%). Meia-vida sinal: 2.3 dias, holding ótimo: 3 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.05, vol: 0.24) - condições favoráveis para este tipo de sinal."
BBAS3,"BBAS3 @ $22.99 shows an unclear signal with both BUY (4.0%, needs 42.0pts) and SELL (15.0%, needs 66.0pts) below thresholds. Conviction: 2.6/10 (Weak) - Model agreement: 15%, uncertainty: 0.77σ, stable ensemble. Top contributors: TD3 (80.5%), LSTM Cla (15.2%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.77 uncertainty. Regime-adjusted expected return: +1.2% over 10 days (regime penalty: 60%, vol penalty: 64%). Signal half-life: 5.5 days, optimal holding: 8 days, persistence probability: 95%. Market regime: trending (trend: 0.19, vol: 0.33) - challenging conditions for this signal type.","BBAS3 @ $22.99 sinal incerto: COMPRA (4.0%, precisa 42.0pts) e VENDA (15.0%, precisa 66.0pts) abaixo dos limiares. Convicção: 2.6/10 (Fraco) - Consenso modelos: 15%, incerteza: 0.77σ, ensemble estável. Principais contribuintes: TD3 (80.5%), LSTM Cla (15.2%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.77. Retorno esperado ajustado: +1.2% em 10 dias (penalidade regime: 60%, vol: 64%). Meia-vida sinal: 5.5 dias, holding ótimo: 8 dias, probabilidade persistência: 95%. Regime mercado: tendencial (tendência: 0.19, vol: 0.33) - condições desafiadoras para este tipo de sinal."
BBD  ,"BBD   @ $3.52 BUY signal: 58.0% vs 39.0% threshold (margin: +19.0pts). Conviction: 4.3/10 (Moderate) - Model agreement: 68%, uncertainty: 0.85σ, stable ensemble. Top contributors: LSTM (22.2%), LSTM SR (21.5%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.85 uncertainty. Regime-adjusted expected return: +1.5% over 10 days (regime penalty: 70%, vol penalty: 66%). Signal half-life: 5.2 days, optimal holding: 8 days, persistence probability: 95%. Market regime: sideways (trend: 0.10, vol: 0.32) - challenging conditions for this signal type.","BBD   @ $3.52 sinal COMPRA: 58.0% vs limiar 39.0% (margem: +19.0pts). Convicção: 4.3/10 (Moderado) - Consenso modelos: 68%, incerteza: 0.85σ, ensemble estável. Principais contribuintes: LSTM (22.2%), LSTM SR (21.5%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.85. Retorno esperado ajustado: +1.5% em 10 dias (penalidade regime: 70%, vol: 66%). Meia-vida sinal: 5.2 dias, holding ótimo: 8 dias, probabilidade persistência: 95%. Regime mercado: lateral (tendência: 0.10, vol: 0.32) - condições desafiadoras para este tipo de sinal."
BBDC3,"BBDC3 @ $16.02 shows an unclear signal with both BUY (0.0%, needs 10.0pts) and SELL (0.0%, needs 80.0pts) below thresholds. Conviction: 0.8/10 (Weak) - Model agreement: 0%, uncertainty: 3.60σ, unstable ensemble. Top contributors: PPO (14.3%), SAC (14.3%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 3.60 uncertainty. Regime-adjusted expected return: +2.4% over 10 days (regime penalty: 80%, vol penalty: 92%). Signal half-life: 1.8 days, optimal holding: 3 days, persistence probability: 30%. Market regime: sideways (trend: 0.09, vol: 0.19) - favorable conditions for this signal type.","BBDC3 @ $16.02 sinal incerto: COMPRA (0.0%, precisa 10.0pts) e VENDA (0.0%, precisa 80.0pts) abaixo dos limiares. Convicção: 0.8/10 (Fraco) - Consenso modelos: 0%, incerteza: 3.60σ, ensemble instável. Principais contribuintes: PPO (14.3%), SAC (14.3%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 3.60. Retorno esperado ajustado: +2.4% em 10 dias (penalidade regime: 80%, vol: 92%). Meia-vida sinal: 1.8 dias, holding ótimo: 3 dias, probabilidade persistência: 30%. Regime mercado: lateral (tendência: 0.09, vol: 0.19) - condições favoráveis para este tipo de sinal."
BBDC4,"BBDC4 @ $18.16 BUY signal: 55.0% vs 31.0% threshold (margin: +24.0pts). Conviction: 4.1/10 (Moderate) - Model agreement: 64%, uncertainty: 1.67σ, stable ensemble. Top contributors: SAC (30.7%), LSTM 10 (27.1%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.67 uncertainty. Regime-adjusted expected return: +1.8% over 10 days (regime penalty: 70%, vol penalty: 82%). Signal half-life: 2.8 days, optimal holding: 4 days, persistence probability: 48%. Market regime: sideways (trend: 0.09, vol: 0.24) - challenging conditions for this signal type.","BBDC4 @ $18.16 sinal COMPRA: 55.0% vs limiar 31.0% (margem: +24.0pts). Convicção: 4.1/10 (Moderado) - Consenso modelos: 64%, incerteza: 1.67σ, ensemble estável. Principais contribuintes: SAC (30.7%), LSTM 10 (27.1%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.67. Retorno esperado ajustado: +1.8% em 10 dias (penalidade regime: 70%, vol: 82%). Meia-vida sinal: 2.8 dias, holding ótimo: 4 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.09, vol: 0.24) - condições desafiadoras para este tipo de sinal."
BBSE3,"BBSE3 @ $40.86 BUY signal: 66.0% vs 45.0% threshold (margin: +21.0pts). Conviction: 3.9/10 (Moderate) - Model agreement: 63%, uncertainty: 1.99σ, stable ensemble. Top contributors: TD3 (36.5%), PPO (33.9%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.99 uncertainty. Regime-adjusted expected return: +1.7% over 10 days (regime penalty: 70%, vol penalty: 76%). Signal half-life: 2.6 days, optimal holding: 4 days, persistence probability: 48%. Market regime: sideways (trend: 0.08, vol: 0.27) - challenging conditions for this signal type.","BBSE3 @ $40.86 sinal COMPRA: 66.0% vs limiar 45.0% (margem: +21.0pts). Convicção: 3.9/10 (Moderado) - Consenso modelos: 63%, incerteza: 1.99σ, ensemble estável. Principais contribuintes: TD3 (36.5%), PPO (33.9%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.99. Retorno esperado ajustado: +1.7% em 10 dias (penalidade regime: 70%, vol: 76%). Meia-vida sinal: 2.6 dias, holding ótimo: 4 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.08, vol: 0.27) - condições desafiadoras para este tipo de sinal."
BOVA1,"BOVA1 @ $183.95 shows an unclear signal with both BUY (47.0%, needs 1.0pts) and SELL (1.0%, needs 66.0pts) below thresholds. Conviction: 2.8/10 (Weak) - Model agreement: 96%, uncertainty: 1.55σ, moderate ensemble. Top contributors: LSTM Cla (44.6%), LSTM SR (44.2%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.55 uncertainty. Regime-adjusted expected return: +2.5% over 10 days (regime penalty: 80%, vol penalty: 98%). Signal half-life: 2.7 days, optimal holding: 4 days, persistence probability: 40%. Market regime: sideways (trend: 0.07, vol: 0.16) - favorable conditions for this signal type.","BOVA1 @ $183.95 sinal incerto: COMPRA (47.0%, precisa 1.0pts) e VENDA (1.0%, precisa 66.0pts) abaixo dos limiares. Convicção: 2.8/10 (Fraco) - Consenso modelos: 96%, incerteza: 1.55σ, ensemble moderado. Principais contribuintes: LSTM Cla (44.6%), LSTM SR (44.2%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.55. Retorno esperado ajustado: +2.5% em 10 dias (penalidade regime: 80%, vol: 98%). Meia-vida sinal: 2.7 dias, holding ótimo: 4 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.07, vol: 0.16) - condições favoráveis para este tipo de sinal."
BPAC1,"BPAC1 @ $61.40 SELL signal: 56.0% vs 56.0% threshold (margin: +0.0pts). Conviction: 2.6/10 (Weak) - Model agreement: 100%, uncertainty: 0.78σ, very_unstable ensemble. Top contributors: LSTM (56.5%), LSTM Cla (21.0%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.78 uncertainty. Regime-adjusted expected return: +3.2% over 10 days (regime penalty: 120%, vol penalty: 84%). Signal half-life: 2.9 days, optimal holding: 4 days, persistence probability: 49%. Market regime: trending (trend: 0.14, vol: 0.23) - favorable conditions for this signal type.","BPAC1 @ $61.40 sinal VENDA: 56.0% vs limiar 56.0% (margem: +0.0pts). Convicção: 2.6/10 (Fraco) - Consenso modelos: 100%, incerteza: 0.78σ, ensemble muito instável. Principais contribuintes: LSTM (56.5%), LSTM Cla (21.0%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.78. Retorno esperado ajustado: +3.2% em 10 dias (penalidade regime: 120%, vol: 84%). Meia-vida sinal: 2.9 dias, holding ótimo: 4 dias, probabilidade persistência: 49%. Regime mercado: tendencial (tendência: 0.14, vol: 0.23) - condições favoráveis para este tipo de sinal."
BPAC3,"BPAC3 @ $23.75 BUY signal: 76.0% vs 38.0% threshold (margin: +38.0pts). Conviction: 5.0/10 (Moderate) - Model agreement: 100%, uncertainty: 1.54σ, moderate ensemble. Top contributors: LSTM (37.8%), LSTM 10 (28.0%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.54 uncertainty. Regime-adjusted expected return: +2.2% over 10 days (regime penalty: 70%, vol penalty: 98%). Signal half-life: 2.7 days, optimal holding: 4 days, persistence probability: 40%. Market regime: sideways (trend: 0.10, vol: 0.16) - challenging conditions for this signal type.","BPAC3 @ $23.75 sinal COMPRA: 76.0% vs limiar 38.0% (margem: +38.0pts). Convicção: 5.0/10 (Moderado) - Consenso modelos: 100%, incerteza: 1.54σ, ensemble moderado. Principais contribuintes: LSTM (37.8%), LSTM 10 (28.0%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.54. Retorno esperado ajustado: +2.2% em 10 dias (penalidade regime: 70%, vol: 98%). Meia-vida sinal: 2.7 dias, holding ótimo: 4 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.10, vol: 0.16) - condições desafiadoras para este tipo de sinal."
BPAC5,"BPAC5 @ $20.91 BUY signal: 97.0% vs 92.0% threshold (margin: +5.0pts). Conviction: 5.9/10 (Moderate) - Model agreement: 97%, uncertainty: 0.26σ, stable ensemble. Top contributors: LSTM Cla (92.4%), LSTM 10 (5.0%). Kelly-optimal position: 0.6% (vs 3% standard), risk-adjusted for 0.26 uncertainty. Regime-adjusted expected return: +2.3% over 10 days (regime penalty: 120%, vol penalty: 60%). Signal half-life: 7.1 days, optimal holding: 11 days, persistence probability: 95%. Market regime: trending (trend: 0.12, vol: 0.36) - favorable conditions for this signal type.","BPAC5 @ $20.91 sinal COMPRA: 97.0% vs limiar 92.0% (margem: +5.0pts). Convicção: 5.9/10 (Moderado) - Consenso modelos: 97%, incerteza: 0.26σ, ensemble estável. Principais contribuintes: LSTM Cla (92.4%), LSTM 10 (5.0%). Posição Kelly-ótima: 0.6% (vs 3% padrão), ajustada para incerteza 0.26. Retorno esperado ajustado: +2.3% em 10 dias (penalidade regime: 120%, vol: 60%). Meia-vida sinal: 7.1 dias, holding ótimo: 11 dias, probabilidade persistência: 95%. Regime mercado: tendencial (tendência: 0.12, vol: 0.36) - condições favoráveis para este tipo de sinal."
BPAN4,"BPAN4 @ $12.75 BUY signal: 100.0% vs 63.0% threshold (margin: +37.0pts). Conviction: 7.7/10 (Strong) - Model agreement: 100%, uncertainty: 0.23σ, stable ensemble. Top contributors: LSTM (33.5%), LSTM 10 (31.6%). Kelly-optimal position: 0.7% (vs 3% standard), risk-adjusted for 0.23 uncertainty. Regime-adjusted expected return: +1.7% over 10 days (regime penalty: 70%, vol penalty: 78%). Signal half-life: 9.3 days, optimal holding: 14 days, persistence probability: 95%. Market regime: sideways (trend: 0.10, vol: 0.26) - challenging conditions for this signal type.","BPAN4 @ $12.75 sinal COMPRA: 100.0% vs limiar 63.0% (margem: +37.0pts). Convicção: 7.7/10 (Forte) - Consenso modelos: 100%, incerteza: 0.23σ, ensemble estável. Principais contribuintes: LSTM (33.5%), LSTM 10 (31.6%). Posição Kelly-ótima: 0.7% (vs 3% padrão), ajustada para incerteza 0.23. Retorno esperado ajustado: +1.7% em 10 dias (penalidade regime: 70%, vol: 78%). Meia-vida sinal: 9.3 dias, holding ótimo: 14 dias, probabilidade persistência: 95%. Regime mercado: lateral (tendência: 0.10, vol: 0.26) - condições desafiadoras para este tipo de sinal."
